REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
sounds\F05_442C020T_BUS_clean.wav	 sounds\F05_442C020T_BUS_MVDR.wav	 -1.000	 1.422	 16000	wb
sounds\F05_442C020T_BUS_clean.wav	 sounds\F05_442C020T_BUS.wav	 -1.000	 1.657	 16000	wb
sounds\F05_442C020W_BUS_clean.wav	 sounds\F05_442C020W_BUS_DSB.wav	 -1.000	 1.211	 16000	wb
sounds\F05_442C020W_BUS_clean.wav	 sounds\F05_442C020W_BUS_MVDR.wav	 -1.000	 1.486	 16000	wb
sounds\F05_442C020W_BUS_clean.wav	 sounds\F05_442C020W_BUS.wav	 -1.000	 1.782	 16000	wb
sounds\F05_442C020X_BUS_clean.wav	 sounds\F05_442C020X_BUS_DSB.wav	 -1.000	 1.055	 16000	wb
sounds\F05_442C020X_BUS_clean.wav	 sounds\F05_442C020X_BUS_MVDR.wav	 -1.000	 1.109	 16000	wb
sounds\F05_442C020X_BUS_clean.wav	 sounds\F05_442C020X_BUS.wav	 -1.000	 1.090	 16000	wb
sounds\F05_442C020Y_BUS_clean.wav	 sounds\F05_442C020Y_BUS_DSB.wav	 -1.000	 1.143	 16000	wb
sounds\F05_442C020Y_BUS_clean.wav	 sounds\F05_442C020Y_BUS_MVDR.wav	 -1.000	 1.251	 16000	wb
sounds\F05_442C020Y_BUS_clean.wav	 sounds\F05_442C020Y_BUS.wav	 -1.000	 1.389	 16000	wb
sounds\F05_442C020Z_BUS_clean.wav	 sounds\F05_442C020Z_BUS_DSB.wav	 -1.000	 1.097	 16000	wb
sounds\F05_442C020Z_BUS_clean.wav	 sounds\F05_442C020Z_BUS_MVDR.wav	 -1.000	 1.232	 16000	wb
sounds\F05_442C020Z_BUS_clean.wav	 sounds\F05_442C020Z_BUS.wav	 -1.000	 1.415	 16000	wb
sounds\F05_442C0210_BUS_clean.wav	 sounds\F05_442C0210_BUS_DSB.wav	 -1.000	 1.119	 16000	wb
sounds\F05_442C0210_BUS_clean.wav	 sounds\F05_442C0210_BUS_MVDR.wav	 -1.000	 1.218	 16000	wb
sounds\F05_442C0210_BUS_clean.wav	 sounds\F05_442C0210_BUS.wav	 -1.000	 1.375	 16000	wb
sounds\F05_443C0202_BUS_clean.wav	 sounds\F05_443C0202_BUS_DSB.wav	 -1.000	 1.183	 16000	wb
sounds\F05_443C0202_BUS_clean.wav	 sounds\F05_443C0202_BUS_MVDR.wav	 -1.000	 1.312	 16000	wb
